category,question,answer,category_id,question_id,created_at
TOP 10,Kia Digital Key(NFC)란 무엇인가요?,Kia Digital Key는 NFC 안테나가 장착된 스마트폰 또는 카드 키로 차량의 도어를 열고 시동을 걸 수 있는 새로운 서비스입니다.,category_1,q_0_0,2025-07-31 07:08:23
TOP 10,직영 서비스센터 운영 시간은 어떻게 됩니까?,Kia Digital Key는 NFC 안테나가 장착된 스마트폰 또는 카드 키로 차량의 도어를 열고 시동을 걸 수 있는 새로운 서비스입니다.,category_1,q_0_1,2025-07-31 07:08:24
TOP 10,사용설명 분실했는데 어떻게 재발급 받을 수 있나요?,Kia Digital Key는 NFC 안테나가 장착된 스마트폰 또는 카드 키로 차량의 도어를 열고 시동을 걸 수 있는 새로운 서비스입니다.,category_1,q_0_2,2025-07-31 07:08:24
TOP 10,"내 차 관리를 위한 필수 앱, MyKia는 어떤 서비스 인가요?",Kia Digital Key는 NFC 안테나가 장착된 스마트폰 또는 카드 키로 차량의 도어를 열고 시동을 걸 수 있는 새로운 서비스입니다.,category_1,q_0_3,2025-07-31 07:08:25
TOP 10,기아 통합 계정이 무엇인가요?,Kia Digital Key는 NFC 안테나가 장착된 스마트폰 또는 카드 키로 차량의 도어를 열고 시동을 걸 수 있는 새로운 서비스입니다.,category_1,q_0_4,2025-07-31 07:08:26
TOP 10,일반 리모컨 또는 스마트 키 차량의 핸들 락(잠김) 해제 방법을 알려주세요,Kia Digital Key는 NFC 안테나가 장착된 스마트폰 또는 카드 키로 차량의 도어를 열고 시동을 걸 수 있는 새로운 서비스입니다.,category_1,q_0_5,2025-07-31 07:08:27
TOP 10,전자식 파킹 브레이크(EPB) 기능이 무엇인가요?,Kia Digital Key는 NFC 안테나가 장착된 스마트폰 또는 카드 키로 차량의 도어를 열고 시동을 걸 수 있는 새로운 서비스입니다.,category_1,q_0_6,2025-07-31 07:08:27
TOP 10,버튼시동 스마트 키 차량의 경우 중립 주차는 어떻게 합니까?,Kia Digital Key는 NFC 안테나가 장착된 스마트폰 또는 카드 키로 차량의 도어를 열고 시동을 걸 수 있는 새로운 서비스입니다.,category_1,q_0_7,2025-07-31 07:08:28
TOP 10,스마트 키 배터리 교환방법에 대해 알려주세요,Kia Digital Key는 NFC 안테나가 장착된 스마트폰 또는 카드 키로 차량의 도어를 열고 시동을 걸 수 있는 새로운 서비스입니다.,category_1,q_0_8,2025-07-31 07:08:29
TOP 10,"내비게이션 업데이트는 어디서, 어떻게 하나요?",Kia Digital Key는 NFC 안테나가 장착된 스마트폰 또는 카드 키로 차량의 도어를 열고 시동을 걸 수 있는 새로운 서비스입니다.,category_1,q_0_9,2025-07-31 07:08:29
전체,단속 카메라 및 안내 경로에 대한 오류 등이 발행하는 경우 어떤 조치를 취할 수 있나요?,"사고를 목격하시거나, 갑작스러운 도로 공사, 통제, 포트홀로 길이 막힌 경우, 지도안내 화면에서 해당 지점을 길게 누르면, ‘사용자 신고’를 바로 실행할 수 있습니다.",category_2,q_1_0,2025-07-31 07:08:32
